1a. ZE - SÃO PAULO - BELA VISTA;FMU (PRÉDIO 32) - BRIGADEIRO I;AV. BRIGADEIRO LUÍS ANTONIO, 1089;SÃO PAULO;Da 50ª à 55ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;FMU (PRÉDIO 40) - BRIGADEIRO III;AV. BRIG. LUÍS ANTÔNIO, 1373;SÃO PAULO;Da 129ª à 130ª;; 420ª; 424ª; 430ª; 433ª; 437ª; Da 440ª à 441ª; 443ª; Da 446ª à 447ª; 492ª; Da 496ª à 497ª; 508ª;" "",""129ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;MACKENZIE PRÉDIO 09 - ITAMBÉ;RUA ITAMBÉ, 135;SÃO PAULO;Da 140ª à 153ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;MACKENZIE PRÉDIO 18 - PIAUÍ;RUA ITAMBÉ, 135;SÃO PAULO;358ª;; 419ª; 423ª; 428ª; 431ª; 435ª; 458ª; 511ª; 515ª;" "",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;MACKENZIE PRÉDIO 45 - CONSOLAÇÃO;RUA ITAMBÉ, 135;SÃO PAULO;Da 154ª à 180ª.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;PUC - CIÊNCIAS EXATAS E TECNOLOGIA;RUA MARQUÊS DE PARANAGUÁ, 111;SÃO PAULO;Da 252ª à 259ª;; 448ª; 451ª;" "",""254ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;PUC COGEAE;RUA DA CONSOLAÇÃO, 881;SÃO PAULO;462ª;; 476ª; 479ª; 490ª; 504ª;" "",""462ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;UNICSUL - UNIV. CRUZEIRO DO SUL;RUA GALVÃO BUENO, 868;SÃO PAULO;503ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;UNINOVE VERGUEIRO;RUA VERGUEIRO, 235;SÃO PAULO;505ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1a. ZE - SÃO PAULO - BELA VISTA;USP - FACULDADE DE DIREITO;LARGO SÃO FRANCISCO, 95;SÃO PAULO;Da 330ª à 344ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
