neighbourhood,zone,name,address,sections1,sections2
"JARDIM BRITANIA","389a. ZE - SÃO PAULO - PERUS","EMEF. EDGARD CARONE","RUA ELISA DINA, 293 A","310ª; 348ª; 421ª; 471ª; 506ª; ","310ª; "
"JARDIM BRITANIA","389a. ZE - SÃO PAULO - PERUS","EMEF. JARDIM BRITÂNIA","RUA FELIPPO STURBA, 38","Da 307ª à 308ª; 324ª; 370ª; 386ª; 397ª; 426ª; 438ª; 457ª; 466ª; 481ª; ","308ª; "
"JARDIM BURITI","375a. ZE - SÃO PAULO - SÃO MATEUS","EE. MOACYR AMARAL DOS SANTOS","RUA CARLOS BELLEVILLE, 22","563ª; 568ª; 572ª; 594ª; 608ª; 619ª; 636ª; 664ª; 675ª; 690ª; 703ª; 718ª; ","563ª; "
"JARDIM CABUÇU","349a. ZE - SÃO PAULO - JAÇANÃ","EMEF. FREI ANTONIO SANT'ANA GALVÃO","RUA GENERAL JERÔNIMO FURTADO, 715","424ª; 455ª; 491ª; 548ª; 586ª; 595ª; 619ª; ","619ª; "
"JARDIM CAMARGO NOVO","352a. ZE - SÃO PAULO - ITAIM PAULISTA","EE. ALBERTO SCHWEITZER","PRAÇA  MATAÇÕES  S/N","Da 86ª à 100ª; 199ª; 206ª; ",""
"JARDIM CAMARGO NOVO","352a. ZE - SÃO PAULO - ITAIM PAULISTA","EE. DEPUTADO JOÃO DÓRIA","RUA DA CONQUISTA , 50","300ª; 310ª; 323ª; 326ª; 333ª; 342ª; 349ª; 355ª; 374ª; 382ª; 389ª; 396ª; 406ª; 411ª; 423ª; 432ª; 442ª; 451ª; ","451ª; "
"JARDIM CAMARGO NOVO","352a. ZE - SÃO PAULO - ITAIM PAULISTA","EMEF. EZEQUIEL RAMOS JUNIOR","AVENIDA JOSÉ BORGES DO CANTO, 18","211ª; 218ª; 221ª; 226ª; 230ª; 232ª; 235ª; 238ª; 242ª; 247ª; 252ª; 258ª; Da 262ª à 263ª; 268ª; 274ª; 277ª; 472ª; ","472ª; "
"JARDIM CAMBARA","374a. ZE - SÃO PAULO - RIO PEQUENO","EE. PROFA. GUIOMAR DA ROCHA RINALDI","RUA DOM FRANCISCO CARDOSO AYRES, 285","Da 68ª à 84ª; 297ª; 303ª; 310ª; 313ª; 317ª; 320ª; Da 563ª à 564ª; ","297ª; 563ª; 564ª; "
"JARDIM CAMPINAS","381a. ZE - SÃO PAULO - PARELHEIROS","EMEF. CONSTELAÇÃO DO ÍNDIO","RUA CONSTELAÇÃO DO ÍNDIO, 41","488ª; 498ª; 511ª; 520ª; 543ª; 561ª; 588ª; ","561ª; "
"JARDIM CAMPOS","397a. ZE - SÃO PAULO - JARDIM HELENA","EMEF ANTONIA E ARTUR BEGBIE","RUA ILHA DE MARUI, 100","Da 177ª à 186ª; 301ª; 343ª; 348ª; 358ª; 380ª; ","348ª; "
"JARDIM CAPELA","372a. ZE - SÃO PAULO - PIRAPORINHA","EE. PROFESSOR SAMUEL MORSE","AVENIDA JOSÉ ESTIMA FILHO,S/N","418ª; 432ª; 444ª; 453ª; 463ª; 474ª; 481ª; 490ª; 499ª; 508ª; 517ª; 531ª; 539ª; 553ª; 563ª; 572ª; 584ª; 593ª; 598ª; 610ª; ","598ª; "
"JARDIM CAPELINHA","408a. ZE - SÃO PAULO - JARDIM SÃO LUÍS","EMEI. MÁRIO SETTE","RUA ANTÔNIO BAUSCHERT, 66","316ª; 326ª; 341ª; 360ª; 372ª; 384ª; ",""
"JARDIM CARLU","422a. ZE - SÃO PAULO - LAUZANE PAULISTA","EXTERNATO HORTO FLORESTAL","AVENIDA SANTA INÊS, 1441","Da 223ª à 226ª; 293ª; 301ª; 356ª; ","301ª; "
"JARDIM CARUMBÉ","376a. ZE - SÃO PAULO - BRASILÂNDIA","EE. JARDIM CARUMBÉ","RUA ROSALVO JOSÉ DA SILVA, S/N","604ª; 616ª; 625ª; 632ª; 651ª; ",""
