neighbourhood,zone,name,address,sections1,sections2
"ACLIMAÇÃO","6a. ZE - SÃO PAULO - VILA MARIANA","COLÉGIO PAULO DE TARSO","RUA MAZZINI, 61","404ª; 413ª; 418ª; 423ª; 427ª; 440ª; 442ª; 446ª; 449ª; ",""
"ACLIMAÇÃO","6a. ZE - SÃO PAULO - VILA MARIANA","EE. CAETANO DE CAMPOS","RUA PIRES DA MOTA, 99","Da 148ª à 169ª; 311ª; 323ª; 352ª; 358ª; ","311ª; "
"ACLIMAÇÃO","6a. ZE - SÃO PAULO - VILA MARIANA","UNIP. UNIVERSIDADE PAULISTA  VERGUEIRO","RUA APENINOS, 267","Da 170ª à 183ª; 322ª; 347ª; 374ª; 378ª; 382ª; 387ª; 390ª; 393ª; 396ª; 410ª; ","378ª; "
"AGUA BRANCA","2a. ZE - SÃO PAULO - PERDIZES","ASSOCIAÇÃO CÍVICA FEMININA","AVENIDA FRANCISCO MATARAZZO, 385","Da 64ª à 69ª; 354ª; Da 356ª à 357ª; 359ª; 367ª; 520ª; ","357ª; "
"AGUA BRANCA","2a. ZE - SÃO PAULO - PERDIZES","COLÉGIO DAS AMÉRICAS","AV. FRANCISCO MATARAZZO, 913","Da 1ª à 27ª; 342ª; 369ª; 435ª; ","435ª; "
"AGUA BRANCA","250a. ZE - SÃO PAULO - LAPA","EE. DR. EDMUNDO DE CARVALHO","RUA TIBÉRIO, 145","Da 57ª à 66ª.","60ª; "
"AGUA BRANCA","250a. ZE - SÃO PAULO - LAPA","EE. RAUL CORTEZ","RUA SABAÚNA, S/N","Da 288ª à 289ª; 305ª; 324ª; 344ª; 373ª; 392ª; 400ª; 418ª; 427ª; 448ª; ","324ª; "
"AGUA BRANCA","2a. ZE - SÃO PAULO - PERDIZES","UNINOVE - UNIVERSIDADE NOVE DE JULHO","AV. FRANCISCO MATARAZZO, 364","Da 85ª à 94ª; 361ª; 439ª; 454ª; 467ª; 486ª; 498ª; 505ª; 517ª; 522ª; ","85ª; "
"ÁGUA FRIA","256a. ZE - SÃO PAULO - TUCURUVI","COLÉGIO OBJETIVO CANTAREIRA","AV. ÁGUA FRIA, 1913","320ª; 324ª; 359ª; 371ª; 393ª; 402ª; 421ª; 434ª; 442ª; 446ª; 448ª; ","324ª; 359ª; "
"ÁGUA FRIA","256a. ZE - SÃO PAULO - TUCURUVI","EE. EXPEDICIONÁRIO BRASILEIRO","RUA ALTINÓPOLIS, 501","Da 40ª à 53ª; 347ª; ","43ª; 44ª; "
"ÁGUA FRIA","249a. ZE - SÃO PAULO - SANTANA","EMEF PROF. ADOLPHO ÓTTO DE LAET","RUA ISIDÓRO DE LAET, 165","Da 139ª à 150ª; 610ª; ","610ª; "
"ÀGUA FUNDA","413a. ZE - SÃO PAULO - CURSINO","CEI VEREADOR FRANCISCO PEREZ","RUA JACAPÉ, 148","280ª; 312ª; 329ª; 336ª; 343ª; 356ª; ","356ª; "
"ÀGUA FUNDA","413a. ZE - SÃO PAULO - CURSINO","EE. PROFA. MARTHA FIGUEIRA NETTO DA SILVA","RUA ABEYLARD QUEIROS, 195","Da 236ª à 247ª.",""
"ALTO DA LAPA","250a. ZE - SÃO PAULO - LAPA","EE. ALFREDO PAULINO","RUA CAATIVA, 15","Da 157ª à 166ª; 423ª; ","157ª; "
"ALTO DA LAPA","250a. ZE - SÃO PAULO - LAPA","EE. JOSÉ MONTEIRO BOANOVA","RUA DALTON, 10","Da 94ª à 102ª; 315ª; 347ª; 426ª; ","94ª; "
"ALTO DA LAPA","250a. ZE - SÃO PAULO - LAPA","EE. REYNALDO PORCHAT","RUA DOS ALIADOS, 540","Da 103ª à 109ª; 313ª; 346ª; 424ª; ","103ª; "
"ALTO DA LAPA","250a. ZE - SÃO PAULO - LAPA","EMEI JEAN PIAGET","RUA SALDANHA DA GAMA, 485","Da 280ª à 282ª; 319ª; 343ª; ","343ª; "
"ALTO DA LAPA","250a. ZE - SÃO PAULO - LAPA","INSTITUTO DE ENSINO SANTO IVO","RUA DUARTE DA COSTA, 1246","Da 110ª à 113ª; 316ª; 334ª; 399ª; ","334ª; 399ª; "
"ALTO DA MOOCA","4a. ZE - SÃO PAULO - MOÓCA","EE. DR. ANTÔNIO DE QUEIROZ TELLES","RUA ITAQUERI, 372","Da 63ª à 77ª.","64ª; "
"ALTO DA MOOCA","4a. ZE - SÃO PAULO - MOÓCA","ESCOLA ESTADUAL M.M.D.C.","RUA CUIABÁ, 667","Da 93ª à 109ª; 304ª; 309ª; 407ª; 412ª; ","309ª; 407ª; 412ª; "
"ALTO DA MOOCA","4a. ZE - SÃO PAULO - MOÓCA","EXTERNATO NOSSA SENHORA MENINA","RUA DO ORATÓRIO, 2621","Da 153ª à 169ª; 303ª; 315ª; 414ª; ","303ª; 315ª; 414ª; "
"ALTO DA RIVIERA","372a. ZE - SÃO PAULO - PIRAPORINHA","EE. PROFESSOR HERCULANO DE FREITAS","RUA OLIVIER BACHELIN, 07","314ª; 334ª; 363ª; 386ª; 404ª; 430ª; 452ª; 470ª; 489ª; 503ª; 522ª; 551ª; 575ª; 597ª; 611ª; ","597ª; "
"ALTO DE PINHEIROS","251a. ZE - SÃO PAULO - PINHEIROS","COLÉGIO PALMARES","AVENIDA PEDROSO DE MORAIS, 1341","Da 27ª à 38ª; 244ª; 303ª; ","27ª; 303ª; "
"ALTO DE PINHEIROS","251a. ZE - SÃO PAULO - PINHEIROS","COLÉGIO RAINHA DA PAZ","RUA DONA ELISA DE MORAES MENDES, 39","247ª; 250ª; 260ª; 273ª; 281ª; 287ª; 294ª; ","250ª; "
"ALTO DE PINHEIROS","251a. ZE - SÃO PAULO - PINHEIROS","COLÉGIO SANTA CRUZ","RUA OROBÓ, 383","Da 64ª à 75ª; 243ª; 293ª; Da 298ª à 299ª; 311ª; ","73ª; 74ª; 75ª; 299ª; 311ª; "
"ALTO DE PINHEIROS","251a. ZE - SÃO PAULO - PINHEIROS","EE. EMILIANO AUGUSTO CAVALCANTI DE ALBUQUERQUE E MELO","AVENIDA DIÓGENES RIBEIRO DE LIMA, 2001","Da 169ª à 179ª.","169ª; 170ª; "
"AMERICANÓPOLIS","320a. ZE - SÃO PAULO - JABAQUARA","EE. DONA PÉROLA BYINGTON","RUA DR. ALCIDES DE CAMPOS, 150","Da 264ª à 276ª; 334ª; 337ª; ","334ª; 337ª; "
"AMERICANÓPOLIS","351a. ZE - SÃO PAULO - CIDADE ADEMAR","EE. MARTINS PENA","RUA PROF. PAULO MANGABEIRA ALBERNAZ, 150","Da 15ª à 27ª; 355ª; 680ª; ","680ª; "
"AMERICANÓPOLIS","351a. ZE - SÃO PAULO - CIDADE ADEMAR","EE. PROF. JOANNA ABRAHAO","RUA COMENDADOR ARTUR CAPODAGLIO, 99","Da 342ª à 354ª; 373ª; 400ª; 704ª; 710ª; 717ª; ","400ª; "
"AMERICANÓPOLIS","351a. ZE - SÃO PAULO - CIDADE ADEMAR","EE. PROF. VICENTE RAO","RUA PASTOR RUBENS LOPES, 368","Da 61ª à 72ª; 416ª; 638ª; 679ª; 689ª; ","679ª; "
"AMERICANÓPOLIS","320a. ZE - SÃO PAULO - JABAQUARA","EE. PROFESSORA MARIA AUGUSTA DE MORAES NEVES","RUA HUGO VÍTOR DA SILVA, 508","Da 277ª à 291ª; 308ª; 311ª; 313ª; 316ª; ","308ª; "
"AMERICANÓPOLIS","351a. ZE - SÃO PAULO - CIDADE ADEMAR","EM. DOUTOR HABIB CARLOS KYRILLOS","RUA RIO GRANDE DO NORTE, S/N","Da 48ª à 60ª; 695ª; ","695ª; "
"AMERICANÓPOLIS","418a. ZE - SÃO PAULO - PEDREIRA","EMEF. MARIA LUCIA DOS SANTOS","RUA ESTAMPA ESPORTIVA, 55","Da 415ª à 416ª; 429ª; 437ª; 440ª; 444ª; 450ª; ","415ª; "
"ARTUR ALVIM","347a. ZE - SÃO PAULO - VILA MATILDE","EE OSWALDO ARANHA BANDEIRA DE MELLO","AVENIDA PADRE SENA FREITAS, 196","320ª; 342ª; 360ª; 377ª; 382ª; 394ª; 405ª; 413ª; 440ª; 444ª; 458ª; ","405ª; "
"ARTUR ALVIM","347a. ZE - SÃO PAULO - VILA MATILDE","EMEF. ARTUR ALVIM","RUA DESEMBARGADOR ROCHA PORTELA,464","Da 111ª à 120ª.",""
"BAIRRO DO LIMÃO","255a. ZE - SÃO PAULO - CASA VERDE","COLÉGIO PADRE MOYE","AVENIDA DEPUTADO EMÍLIO CARLOS, 318","389ª; 391ª; 395ª; 400ª; 415ª; Da 436ª à 437ª; 450ª; ","395ª; "
"BAIRRO DO LIMÃO","255a. ZE - SÃO PAULO - CASA VERDE","COLÉGIO SILVIO GONZALEZ - UNIDADE 3","AVENIDA DEPUTADO EMÍLIO CARLOS, 620","Da 484ª à 485ª; 497ª; 514ª; 518ª; 520ª; 528ª; 530ª; ","484ª; "
"BAIRRO DO LIMÃO","255a. ZE - SÃO PAULO - CASA VERDE","EE. VISCONDE DE TAUNAY","AVENIDA PROFESSOR CELESTINO BOURROUL, 304","Da 112ª à 122ª.",""
"BAIRRO DO LIMÃO","255a. ZE - SÃO PAULO - CASA VERDE","EMEI GUIA LOPES","AVENIDA PROFESSOR CELESTINO BOURROUL, 358","459ª; 466ª; 470ª; 474ª; 483ª; 512ª; 525ª; ","483ª; "
"BALNEÁRIO SÃO FRANCISCO","418a. ZE - SÃO PAULO - PEDREIRA","CEI CENTRO EDUCACIONAL UNIFICADO ALVARENGA","ESTRADA DO ALVARENGA, 3752","Da 344ª à 346ª; 362ª; 432ª; 438ª; 442ª; 445ª; 449ª; ","344ª; 345ª; 346ª; 362ª; "
"BALNEÁRIO SÃO FRANCISCO","418a. ZE - SÃO PAULO - PEDREIRA","EE. PROF. EUGÊNIO ZERBINI","RUA DOS PIAVUNAS, 10-B","Da 190ª à 203ª; 413ª; 460ª; ","413ª; "
"BALNEÁRIO SÃO FRANCISCO","418a. ZE - SÃO PAULO - PEDREIRA","EMEF CENTRO EDUCACIONAL UNIFICADO ALVARENGA","ESTRADA DO ALVARENGA, 3752","Da 324ª à 333ª.",""
"BALNEÁRIO SÃO FRANCISCO","418a. ZE - SÃO PAULO - PEDREIRA","EMEI CENTRO EDUCACIONAL UNIFICADO ALVARENGA","ESTRADA DO ALVARENGA, 3752","Da 334ª à 343ª.",""
"BARRA FUNDA","2a. ZE - SÃO PAULO - PERDIZES","CENTRO EDUCACIONAL E ESPORTIVO ''RAUL TABAJARA''","RUA ANHANGUERA, 484","373ª; 382ª; 432ª; ","373ª; "
"BARRA FUNDA","2a. ZE - SÃO PAULO - PERDIZES","ESCOLA ESTADUAL CONSELHEIRO ANTONIO PRADO","RUA VITORINO CARMILO, 621","Da 231ª à 242ª.","242ª; "
"BARRA FUNDA","2a. ZE - SÃO PAULO - PERDIZES","ESCOLA ESTADUAL DOUTOR ALARICO SILVEIRA","RUA CONSELHEIRO BROTERO, 100","Da 95ª à 110ª; 341ª; 374ª; ","95ª; "
"BARRA FUNDA","2a. ZE - SÃO PAULO - PERDIZES","FACULDADES OSWALDO CRUZ","RUA BRIGADEIRO GALVÃO, 540","Da 204ª à 230ª; 340ª; 346ª; 348ª; 350ª; 515ª; ","204ª; "
"BARRA FUNDA","2a. ZE - SÃO PAULO - PERDIZES","INSTITUTO EDUCACIONAL BONI CONSILII","ALAMEDA BARÃO DE LIMEIRA,1379","Da 76ª à 84ª; 355ª; 365ª; ","76ª; "
"BARRA FUNDA","2a. ZE - SÃO PAULO - PERDIZES","LOCAL RESERVA, NÃO UTILIZAR","RUA DEPUTADO SALVADOR JULIANELLI, S/N - PRÉDIO D","Da 493ª à 497ª.","493ª; 494ª; 495ª; 496ª; 497ª; "
"BARRAGEM","381a. ZE - SÃO PAULO - PARELHEIROS","EE. PROF. JOAQUIM ALVARES CRUZ","RUA DOIS, 02","316ª; 337ª; 365ª; 413ª; 432ª; 487ª; 529ª; 554ª; ","413ª; "
"BARRO BRANCO (ZONA NORTE)","256a. ZE - SÃO PAULO - TUCURUVI","E.E PROF. LEÔNIDAS PAIVA","RUA DOS MÁRTIRES ARMÊNIOS, 645","277ª; 286ª; 312ª; 325ª; 353ª; 364ª; 387ª; 424ª; 458ª; ","277ª; 325ª; "
"BELA VISTA","1a. ZE - SÃO PAULO - BELA VISTA","ANHEMBI MORUMBI - 13 DE MAIO (PAULISTA 2)","RUA TREZE DE MAIO, 1266","509ª; 514ª; 518ª; ",""
"BELA VISTA","1a. ZE - SÃO PAULO - BELA VISTA","COLÉGIO JOÃO E RAPHAELA PASSALACQUA","RUA JOÃO PASSALACQUA, 207","Da 87ª à 97ª; 393ª; 410ª; 421ª; 429ª; 438ª; 460ª; ","87ª; "
"BELA VISTA","1a. ZE - SÃO PAULO - BELA VISTA","COLÉGIO OBJETIVO","AV. PAULISTA, 900","Da 1ª à 27ª; 355ª; 361ª; ","1ª; "
"BELA VISTA","1a. ZE - SÃO PAULO - BELA VISTA","EE DRA. MARIA AUGUSTA SARAIVA","RUA MAJOR DIOGO, 200","Da 131ª à 139ª; 390ª; 413ª; ","131ª; "
"BELA VISTA","1a. ZE - SÃO PAULO - BELA VISTA","EE MARIA JOSÉ","RUA TREZE DE MAIO, 267","Da 71ª à 86ª; 394ª; 401ª; 407ª; 493ª; ","493ª; "
"BELA VISTA","1a. ZE - SÃO PAULO - BELA VISTA","EE PAULO MACHADO DE CARVALHO","RUA AGUIAR DE BARROS, 160","494ª; 506ª; 512ª; ",""
"BELA VISTA","1a. ZE - SÃO PAULO - BELA VISTA","EE RODRIGUES ALVES","AV. PAULISTA, 227","Da 28ª à 49ª; 363ª; 371ª; ","28ª; "
"BELA VISTA","1a. ZE - SÃO PAULO - BELA VISTA","EMEF CELSO LEITE RIBEIRO FILHO","RUA HUMAITÁ, 480","Da 56ª à 70ª; 406ª; ",""
"BELA VISTA","1a. ZE - SÃO PAULO - BELA VISTA","ESTAÇÃO REPÚBLICA DO METRÔ","SEÇÕES INSTALADAS PRÓXIMO AO ACESSO PRINCIPAL","Da 480ª à 485ª.","480ª; 481ª; 482ª; 483ª; 484ª; 485ª; "
"BELA VISTA","1a. ZE - SÃO PAULO - BELA VISTA","FMU (PRÉDIO 32) - BRIGADEIRO I","AV. BRIGADEIRO LUÍS ANTONIO, 1089","Da 50ª à 55ª; Da 113ª à 128ª; ","50ª; "
"BELA VISTA","1a. ZE - SÃO PAULO - BELA VISTA","FMU (PRÉDIO 40) - BRIGADEIRO III","AV. BRIG. LUÍS ANTÔNIO, 1373","Da 129ª à 130ª; 359ª; 391ª; 402ª; 409ª; 416ª; 420ª; 424ª; 430ª; 433ª; 437ª; Da 440ª à 441ª; 443ª; Da 446ª à 447ª; 492ª; Da 496ª à 497ª; 508ª; ","129ª; "
"BELA VISTA","5a. ZE - SÃO PAULO - JARDIM PAULISTA","UNIVERSIDADE ANHEMBI MORUMBI (CAMPUS PAULISTA 1)","AV. PAULISTA, 2000","Da 330ª à 332ª.","330ª; "
"BELEM","4a. ZE - SÃO PAULO - MOÓCA","F. CASA - CENT. DE AT. SOCIOEDUC. AO ADOL. UNID. DE INT. V. GUILHERME","AV. CONDESSA ELIZABETH ROBIANO, 450","420ª.",""
"BELEM","4a. ZE - SÃO PAULO - MOÓCA","FUND. CASA - CENTRO DE ATEND. SOCIOEDUC. AO ADOL. UNID. DE INT. BELÉM","AV. CONDESSA ELIZABETH ROBIANO, 450","419ª.",""
"BELEM","4a. ZE - SÃO PAULO - MOÓCA","FUND. CASA CENTRO DE ATEN. SOCIOEDU. AO ADOL. UNID. DE INT. BELA VISTA","RUA CONDESSA ELIZABETH ROBIANO, 450","418ª.",""
"BELEM","4a. ZE - SÃO PAULO - MOÓCA","FUND. CASA CENTRO DE ATEN. SOCIOEDUC. AO ADOL. UNID. DE INT. SÃO PAULO","AV. CONDESSA ELIZABETH ROBIANO, 450","416ª.",""
"BELENZINHO","4a. ZE - SÃO PAULO - MOÓCA","COLÉGIO PRESBITERIANO DO BRÁS","RUA SÃO LEOPOLDO, 326","Da 256ª à 276ª; 307ª; ","256ª; "
"BELENZINHO","4a. ZE - SÃO PAULO - MOÓCA","EE. PLÍNIO BARRETO","RUA SIQUEIRA BUENO, 2123","Da 78ª à 92ª; 310ª; 322ª; 406ª; 423ª; ","406ª; "
"BELENZINHO","4a. ZE - SÃO PAULO - MOÓCA","INSTITUTO NOSSA  SENHORA AUXILIADORA","RUA PASSOS, 36","Da 277ª à 281ª; 330ª; 342ª; 347ª; 357ª; 361ª; 371ª; 375ª; 381ª; 385ª; 390ª; 395ª; 401ª; 430ª; ","277ª; 342ª; "
"BOM RETIRO","3a. ZE - SÃO PAULO - SANTA IFIGÊNIA","COLÉGIO DE SANTA INÊS","RUA TRES RIOS, 362","Da 65ª à 75ª; 213ª; ","65ª; "
"BOM RETIRO","3a. ZE - SÃO PAULO - SANTA IFIGÊNIA","EE. MARECHAL DEODORO","RUA DOS ITALIANOS, 405","Da 76ª à 90ª; 199ª; ","199ª; "
"BOM RETIRO","3a. ZE - SÃO PAULO - SANTA IFIGÊNIA","EE. PRUDENTE DE MORAES","PRAÇA CORONEL FERNANDO PRESTES, 197","Da 22ª à 35ª; 214ª; ","23ª; "
"BOM RETIRO","3a. ZE - SÃO PAULO - SANTA IFIGÊNIA","ESCOLA LUBAVITCH","RUA PRATES, 790","Da 14ª à 21ª; Da 57ª à 64ª; ","20ª; "
"BORORE","371a. ZE - SÃO PAULO - GRAJAÚ","EE. PROF. ADRIÃO BERNARDES","ESTRADA DE ITAQUAQUECETUBA, 9953","556ª; 561ª; 639ª; 702ª; 775ª; ","639ª; "
"BORTOLANDIA","256a. ZE - SÃO PAULO - TUCURUVI","EE. ÂNGELO BORTOLO","RUA ANTÔNIO GONÇALVES SILVA, 91","Da 77ª à 98ª.","81ª; 82ª; "
"BORTOLANDIA","256a. ZE - SÃO PAULO - TUCURUVI","EE. PROFA. JUDITH GUIMARÃES DOS SANTOS","RUA MANUEL PEREIRA SAMPAIO, 66","Da 64ª à 76ª; 336ª; ","71ª; 336ª; "
"BOSQUE DA SAÚDE","259a. ZE - SÃO PAULO - SAÚDE","COLÉGIO OEMAR","RUA JAGUARI, 364","Da 193ª à 201ª; 448ª; 462ª; 475ª; 491ª; 572ª; 576ª; 632ª; ","576ª; "
"BOSQUE DA SAÚDE","259a. ZE - SÃO PAULO - SAÚDE","COLÉGIO RENOVAÇÃO","RUA BENTO DE FARIA, 129","442ª; 469ª; Da 478ª à 479ª; 487ª; 500ª; 519ª; 577ª; 594ª; 612ª; ","577ª; "
"BOSQUE DA SAÚDE","259a. ZE - SÃO PAULO - SAÚDE","EE. CONDE JOSÉ VICENTE DE AZEVEDO","RUA GUARAREMA, 365","Da 128ª à 143ª; 626ª; ",""
"BOSQUE DA SAÚDE","259a. ZE - SÃO PAULO - SAÚDE","EE. PRINCESA ISABEL","RUA IBIRAREMA, 341","Da 91ª à 103ª.",""
"BRAS","4a. ZE - SÃO PAULO - MOÓCA","CONJUNTO EDUC. E ASSISTENCIAL ANTÔNIO DEVISATE - SESI","RUA CATUMBI, 318","Da 282ª à 291ª; 339ª; 410ª; 427ª; ","410ª; "
"BRAS","3a. ZE - SÃO PAULO - SANTA IFIGÊNIA","EE. DE SÃO PAULO","RUA DA FIGUEIRA, 500","Da 52ª à 56ª; Da 91ª à 97ª; 212ª; Da 223ª à 224ª; 228ª; ","52ª; "
"BRAS","3a. ZE - SÃO PAULO - SANTA IFIGÊNIA","EE. DOMINGOS FAUSTINO SARMIENTO","RUA VINTE E UM DE ABRIL, 970","Da 141ª à 151ª; 211ª; ","142ª; "
"BRAS","3a. ZE - SÃO PAULO - SANTA IFIGÊNIA","EE. EDUARDO PRADO","RUA ALMIRANTE BARROSO, 225","Da 129ª à 140ª; 217ª; 221ª; 226ª; ",""
"BRAS","3a. ZE - SÃO PAULO - SANTA IFIGÊNIA","EE. PADRE ANCHIETA","RUA VISCONDE DE ABAETÉ, 154","Da 115ª à 128ª; 200ª; 202ª; 207ª; 209ª; ","115ª; "
"BRAS","3a. ZE - SÃO PAULO - SANTA IFIGÊNIA","ETE. CARLOS DE CAMPOS","RUA MONSENHOR DE ANDRADE, 798","Da 152ª à 157ª; Da 195ª à 197ª; ","152ª; "
"BRAS","3a. ZE - SÃO PAULO - SANTA IFIGÊNIA","SENAI","RUA MONSENHOR DE ANDRADE, 298","Da 98ª à 114ª.","99ª; "
"BRASILANDIA","376a. ZE - SÃO PAULO - BRASILÂNDIA","EE. MARTIN EGÍDIO DAMY","RUA PAULO GARCIA AQUILINE, 406","Da 72ª à 80ª; 249ª; 511ª; ","249ª; "
"BRASILANDIA","376a. ZE - SÃO PAULO - BRASILÂNDIA","EMEF. EMBAIXADOR RAUL FERNANDES","RUA NAIR RAMOS SCHURING, 2515","352ª; 366ª; 375ª; 384ª; 393ª; 404ª; 412ª; 418ª; 440ª; 452ª; 469ª; 481ª; 492ª; 496ª; 502ª; 520ª; 533ª; 550ª; ","375ª; 550ª; "
"BRASILANDIA","376a. ZE - SÃO PAULO - BRASILÂNDIA","EMEF. GERALDO SESSO JÚNIOR","RUA JOSÉ SIQUEIRA BRITO, S/N","Da 197ª à 216ª.","198ª; "
"BROOKLIN PAULISTA","258a. ZE - SÃO PAULO - INDIANÓPOLIS","EE. MÁRIO DE ANDRADE","RUA JOAQUIM NABUCO, 570","Da 279ª à 295ª; 366ª; ","279ª; "
"BROOKLIN PAULISTA","258a. ZE - SÃO PAULO - INDIANÓPOLIS","EE. PROF. ENNIO VOSS","AV. PORTUGAL, 1220","Da 230ª à 244ª; 321ª; 329ª; 343ª; Da 349ª à 350ª; 441ª; 483ª; 490ª; ","230ª; "
"BURGO PAULISTA","392a. ZE - SÃO PAULO - PONTE RASA","CEI DRA. ZILDA ARNS NEUMANN","RUA ANTONIO FORTUNATO, 1050","276ª; 292ª; 321ª; 345ª; 357ª; ","292ª; "
"BURGO PAULISTA","392a. ZE - SÃO PAULO - PONTE RASA","EE. THEREZA DOROTHEA DE ARRUDA REGO","RUA CONCEIÇÃO DO CASTELO, 64","Da 1ª à 9ª; 264ª; 281ª; 307ª; 336ª; 380ª; 386ª; ","307ª; "
"BUTANTA","374a. ZE - SÃO PAULO - RIO PEQUENO","COLÉGIO COSTA ZAVAGLI","AVENIDA CORIFEU DE AZEVEDO MARQUES, 3821","523ª; 540ª; 621ª; 625ª; 634ª; 641ª; 647ª; 654ª; 659ª; 665ª; 669ª; 682ª; 686ª; 690ª; ","523ª; 540ª; "
"BUTANTA","374a. ZE - SÃO PAULO - RIO PEQUENO","EMEI. MONTE CASTELO","PRAÇA MONTE CASTELO,49","423ª; 480ª; 601ª; 633ª; ","423ª; 480ª; 601ª; "
"BUTANTA","374a. ZE - SÃO PAULO - RIO PEQUENO","UNIVERSIDADE SÃO JUDAS TADEU - CAMPUS BUTANTÃ","AV. DR. VITAL BRASIL, 1000","Da 1ª à 19ª; Da 240ª à 248ª; Da 292ª à 296ª; 301ª; 308ª; 311ª; 355ª; 371ª; 375ª; 395ª; 419ª; 474ª; 508ª; 529ª; Da 568ª à 569ª; 605ª; 722ª; ","301ª; 529ª; 568ª; 569ª; 605ª; "
"CACHOEIRINHA","255a. ZE - SÃO PAULO - CASA VERDE","EMEF. TENENTE AVIADOR FREDERICO GUSTAVO DOS SANTOS","AVENIDA GENERAL PENHA BRASIL, 139","Da 228ª à 241ª; 498ª; 507ª; ","498ª; "
"CAMBUCI","6a. ZE - SÃO PAULO - VILA MARIANA","COLÉGIO NOSSA SENHORA DA GLÓRIA","RUA JUSTO AZAMBUJA, 267","Da 204ª à 223ª.","204ª; "
"CAMBUCI","6a. ZE - SÃO PAULO - VILA MARIANA","EE. OSCAR THOMPSON","AV. LINS DE VASCONCELOS, 600","Da 261ª à 272ª.","261ª; 262ª; "
"CAMBUCI","6a. ZE - SÃO PAULO - VILA MARIANA","EE. PROF. GOMES CARDIM","AV. LACERDA FRANCO, 1641","Da 224ª à 238ª.",""
"CAMBUCI","6a. ZE - SÃO PAULO - VILA MARIANA","FACULDADE E COLÉGIO PAULISTA","AV. LINS DE VASCONCELOS, 1264","Da 324ª à 325ª; 327ª; 331ª; 333ª; 338ª; 341ª; 344ª; Da 348ª à 349ª; 354ª; 357ª; 363ª; 365ª; 367ª; 372ª; 375ª; 439ª; 443ª; ","324ª; "
"CAMPININHA","246a. ZE - SÃO PAULO - SANTO AMARO","EE. IBRAHIM NOBRE","RUA PROFESSOR DJALMA BENTO, 155","Da 167ª à 174ª; 262ª; 272ª; 279ª; 288ª; 316ª; ","272ª; "
"CAMPO BELO","258a. ZE - SÃO PAULO - INDIANÓPOLIS","AUBRICK - ESCOLA BILÍNGUE MULTICULTURAL","RUA VIEIRA DE MORAIS, 177","Da 119ª à 129ª; 476ª; 565ª; ","122ª; "
"CAMPO BELO","258a. ZE - SÃO PAULO - INDIANÓPOLIS","COLÉGIO CRIATIVA","RUA ESTEVÃO BAIÃO, 765","Da 142ª à 148ª; 365ª; 442ª; ","144ª; "
"CAMPO BELO","258a. ZE - SÃO PAULO - INDIANÓPOLIS","COLÉGIO MAGNO","RUA JOÃO DE SOUSA DIAS, 851","Da 149ª à 156ª; 524ª; ","524ª; "
"CAMPO BELO","258a. ZE - SÃO PAULO - INDIANÓPOLIS","COLÉGIO PAULICÉIA","RUA DR. JESUINO MACIEL, 1833","389ª; 414ª; 426ª; 429ª; 433ª; 475ª; 494ª; 520ª; ","429ª; "
"CAMPO BELO","258a. ZE - SÃO PAULO - INDIANÓPOLIS","COLÉGIO VÉRTICE","RUA VIEIRA DE MORAIS, 172","320ª; 324ª; 327ª; 330ª; 333ª; Da 337ª à 340ª; Da 347ª à 348ª; 512ª; ","339ª; "
"CAMPO BELO","258a. ZE - SÃO PAULO - INDIANÓPOLIS","EMEF. DONA CHIQUINHA RODRIGUES","RUA PASCAL, 1028","Da 157ª à 172ª; 367ª; ","158ª; "
"CAMPO BELO","258a. ZE - SÃO PAULO - INDIANÓPOLIS","ESSÊNCIA EQUIPE DE ENSINO","RUA MORAIS DE BARROS, 600","373ª; 377ª; 393ª; 406ª; 437ª; 487ª; ","393ª; "
"CAMPO GRANDE","246a. ZE - SÃO PAULO - SANTO AMARO","EMEF JOÃO GUALBERTO DO AMARAL CARVALHO","RUA JOÃO FRANCO DE OLIVEIRA, 150","Da 332ª à 333ª; Da 335ª à 336ª; ","332ª; "
"CAMPO LIMPO","328a. ZE - SÃO PAULO - CAMPO LIMPO","CENTRO UNIVERSITÁRIO ANHANGUERA","ESTRADA DO CAMPO LIMPO, 3.677","646ª; 661ª; 670ª; 676ª; 692ª; 697ª; 700ª; 707ª; 711ª; 715ª; 722ª; 728ª; 739ª; 741ª; 744ª; Da 746ª à 750ª; Da 753ª à 755ª; Da 761ª à 765ª; 768ª; Da 770ª à 771ª; 773ª; Da 775ª à 776ª; 781ª; 785ª; 790ª; 795ª; 799ª; 802ª; 804ª; 807ª; 810ª; 813ª; 818ª; Da 832ª à 833ª; 849ª; 854ª; 858ª; 869ª; 874ª; 884ª; Da 889ª à 890ª; Da 892ª à 893ª; Da 895ª à 897ª; ","753ª; 832ª; 833ª; "
"CAMPOS ELISEOS","2a. ZE - SÃO PAULO - PERDIZES","ESCOLA ESTADUAL JOÃO KOPKE","ALAMEDA CLEVELAND, 331","372ª; 377ª; 409ª; 430ª; 462ª; 484ª; 502ª; ","377ª; "
"CAMPOS ELISEOS","2a. ZE - SÃO PAULO - PERDIZES","LICEU CORAÇÃO DE JESUS","ALAMEDA DINO BUENO, 383","Da 111ª à 135ª; 360ª; 364ª; ","111ª; "
